subject;classifier;model;preprocessing;accuracy
1;AdaBoost;AdaBoostClassifier(learning_rate=0.053563857976427307, n_estimators=210,                random_state=0);(PCA(n_components=2),);0.747
1;DecisionTree;DecisionTreeClassifier(criterion='entropy', max_features=0.20535092315505404,                    random_state=1);(PCA(n_components=2),);0.735
1;KNN;KNeighborsClassifier(algorithm='brute', leaf_size=26, metric='manhattan',                  n_jobs=1, n_neighbors=6, p=1.681554405092497);(MinMaxScaler(clip=True, feature_range=(0.0, 1.0)),);0.747
1;LDA;LinearDiscriminantAnalysis(solver='lsqr', tol=0.000483621706465121);(MinMaxScaler(clip=True, feature_range=(0.0, 1.0)),);0.735
1;RandomForest;RandomForestClassifier(class_weight='balanced_subsample', criterion='entropy',                    max_depth=4, max_features=0.7299274966288608,                    max_leaf_nodes=5, n_estimators=227, n_jobs=1,                    random_state=3, verbose=False);(PCA(n_components=2, whiten=True),);0.759
1;QDA;QuadraticDiscriminantAnalysis(reg_param=0.09057441069841182,                           tol=0.004843924597645762);(StandardScaler(),);0.723
1;SVM;SVC(C=1.6490841344375518, coef0=0.5235221176002779, degree=5, kernel='poly', random_state=4, tol=0.0015229105988138051);(StandardScaler(),);0.735
2;AdaBoost;AdaBoostClassifier(algorithm='SAMME', learning_rate=0.05313040357660274,                n_estimators=65, random_state=1);(PCA(n_components=2),);0.819
2;DecisionTree;DecisionTreeClassifier(criterion='entropy', max_features='log2', random_state=2,                    splitter='random');(MinMaxScaler(clip=True, feature_range=(0.0, 1.0)),);0.795
2;KNN;KNeighborsClassifier(algorithm='ball_tree', leaf_size=39, metric='euclidean',                  n_jobs=1, n_neighbors=4, p=1.5377334026021643,                  weights='distance');(StandardScaler(with_std=False),);0.771
2;LDA;LinearDiscriminantAnalysis(tol=0.00012048674827290646);(Normalizer(norm='max'),);0.807
2;RandomForest;RandomForestClassifier(bootstrap=False, max_depth=2, min_samples_leaf=9,                    n_estimators=1666, n_jobs=1, random_state=1,                    verbose=False);(PCA(n_components=2),);0.783
2;QDA;QuadraticDiscriminantAnalysis(reg_param=0.3890962022978569,                           tol=0.0049008457939197884);(StandardScaler(with_mean=False),);0.843
2;SVM;SVC(C=1.0210297641063795, coef0=0.934174508255857, degree=4, kernel='poly', random_state=2, tol=3.928722293171343e-05);(Normalizer(norm='max'),);0.795
3;AdaBoost;AdaBoostClassifier(learning_rate=0.08982845285127251, n_estimators=65,                random_state=1);(PCA(n_components=2),);0.988
3;DecisionTree;DecisionTreeClassifier(criterion='entropy', random_state=1);(PCA(n_components=2),);0.988
3;KNN;KNeighborsClassifier(algorithm='kd_tree', leaf_size=38, metric='cityblock',                  n_jobs=1, n_neighbors=2, p=1.182712527179293,                  weights='distance');(PCA(n_components=2, whiten=True),);0.988
3;LDA;LinearDiscriminantAnalysis(tol=0.0003568025749398901);(Normalizer(norm='l1'),);0.747
3;RandomForest;RandomForestClassifier(bootstrap=False, max_features=0.16869325452403883,                    n_estimators=483, n_jobs=1, random_state=0,                    verbose=False);(PCA(n_components=2),);0.988
3;QDA;QuadraticDiscriminantAnalysis(reg_param=0.0040254676026859094,                           tol=0.00019341405774326014);(Normalizer(),);0.759
3;SVM;SVC(C=2.4352092921735538, coef0=0.8593898926031555, decision_function_shape='ovo', degree=5, gamma='auto', random_state=0, shrinking=False, tol=4.781944052973629e-05);(PCA(n_components=2),);0.976
4;AdaBoost;AdaBoostClassifier(algorithm='SAMME', learning_rate=0.5218013422077226,                n_estimators=13, random_state=3);(PCA(n_components=2),);0.928
4;DecisionTree;DecisionTreeClassifier(criterion='entropy', random_state=4);(MinMaxScaler(feature_range=(0.0, 1.0)),);0.976
4;KNN;KNeighborsClassifier(algorithm='kd_tree', leaf_size=25, n_jobs=1,                  p=3.1788442613970034);(MinMaxScaler(clip=True, feature_range=(0.0, 1.0)),);0.976
4;LDA;LinearDiscriminantAnalysis(tol=0.001666351104252523);(MinMaxScaler(clip=True, feature_range=(0.0, 1.0)),);0.892
4;RandomForest;RandomForestClassifier(bootstrap=False, class_weight='balanced_subsample',                    criterion='entropy', n_estimators=439, n_jobs=1,                    random_state=4, verbose=False);(PCA(n_components=2),);0.976
4;QDA;QuadraticDiscriminantAnalysis(reg_param=0.003836258325727669,                           tol=6.72650385346692e-05);(PCA(n_components=2, whiten=True),);0.964
4;SVM;SVC(C=0.9452468130891106, coef0=0.1297031342390602, degree=4, kernel='poly', random_state=0, shrinking=False, tol=7.947016013033946e-05);(StandardScaler(with_mean=False, with_std=False),);0.976
