subject;classifier;model;preprocessing;accuracy
1;AdaBoost;AdaBoostClassifier(learning_rate=0.13640676284183834, n_estimators=176,                random_state=4);(PCA(n_components=2, whiten=True),);0.714
1;DecisionTree;DecisionTreeClassifier(max_depth=2, max_leaf_nodes=15, random_state=3);(StandardScaler(with_std=False),);0.724
1;KNN;KNeighborsClassifier(leaf_size=34, n_jobs=1, n_neighbors=9,                  p=3.6993045284147703, weights='distance');(StandardScaler(with_std=False),);0.704
1;LDA;LinearDiscriminantAnalysis(tol=7.945340118772861e-05);(MinMaxScaler(feature_range=(-1.0, 1.0)),);0.724
1;RandomForest;RandomForestClassifier(class_weight='balanced', max_features=0.3933444611609608,                    min_samples_leaf=10, n_estimators=387, n_jobs=1,                    random_state=2, verbose=False);(PCA(n_components=2),);0.724
1;QDA;QuadraticDiscriminantAnalysis(reg_param=0.0620709001485919,                           tol=0.00016265246126344273);(StandardScaler(with_mean=False),);0.724
1;SVM;SVC(C=3.3274691051771663, coef0=0.10420448415934713, decision_function_shape='ovo', random_state=1, shrinking=False, tol=7.907047864528316e-05);(PCA(n_components=2),);0.684
2;AdaBoost;AdaBoostClassifier(algorithm='SAMME', learning_rate=0.014780167134034012,                n_estimators=20, random_state=1);(PCA(n_components=2),);0.847
2;DecisionTree;DecisionTreeClassifier(max_features=0.15228893494470008, random_state=3,                    splitter='random');(PCA(n_components=2, whiten=True),);0.776
2;KNN;KNeighborsClassifier(algorithm='brute', leaf_size=31, n_jobs=1, n_neighbors=7,                  p=1.7700920859381704, weights='distance');(PCA(n_components=2, whiten=True),);0.806
2;LDA;LinearDiscriminantAnalysis(solver='lsqr', tol=6.758892045838577e-05);(PCA(n_components=2, whiten=True),);0.867
2;RandomForest;RandomForestClassifier(bootstrap=False, class_weight='balanced',                    max_features=0.4395497021849484, n_estimators=388,                    n_jobs=1, random_state=0, verbose=False);(PCA(n_components=2, whiten=True),);0.827
2;QDA;QuadraticDiscriminantAnalysis(reg_param=0.1700264253963238,                           tol=0.0015325059212150187);(PCA(n_components=2, whiten=True),);0.867
2;SVM;SVC(C=1.6311567935631555, coef0=0.5459189929442602, degree=5, random_state=2, tol=1.5542856271810185e-05);(MinMaxScaler(feature_range=(0.0, 1.0)),);0.837
3;AdaBoost;AdaBoostClassifier(algorithm='SAMME', learning_rate=0.16642138597374684,                n_estimators=31, random_state=0);(PCA(n_components=2, whiten=True),);0.745
3;DecisionTree;DecisionTreeClassifier(max_depth=4, max_features='sqrt', random_state=2);(MinMaxScaler(clip=True, feature_range=(0.0, 1.0)),);0.806
3;KNN;KNeighborsClassifier(algorithm='ball_tree', leaf_size=28, metric='cityblock',                  n_jobs=1, n_neighbors=11, p=4.717069925889957,                  weights='distance');(PCA(n_components=2, whiten=True),);0.827
3;LDA;LinearDiscriminantAnalysis(solver='eigen', tol=0.0009083031370679397);(MinMaxScaler(feature_range=(-1.0, 1.0)),);0.714
