subject;classifier;model;preprocessing;accuracy
1;AdaBoost;AdaBoostClassifier(learning_rate=0.010047784265521857, n_estimators=550,                random_state=4);(PCA(n_components=2),);0.694
1;DecisionTree;DecisionTreeClassifier(criterion='entropy', max_features=0.5684141909092587,                    random_state=0);(StandardScaler(with_mean=False, with_std=False),);0.724
1;KNN;KNeighborsClassifier(algorithm='ball_tree', metric='euclidean', n_jobs=1,                  n_neighbors=11, p=1.6228776121624526);(PCA(n_components=2, whiten=True),);0.704
1;LDA;LinearDiscriminantAnalysis(solver='eigen', tol=0.0057675222264040385);(PCA(n_components=2, whiten=True),);0.745
1;RandomForest;RandomForestClassifier(bootstrap=False, criterion='entropy', max_depth=4,                    max_leaf_nodes=10, min_impurity_decrease=0.01,                    min_samples_leaf=4, min_samples_split=3,                    n_estimators=2053, n_jobs=1, random_state=2,                    verbose=False);(MinMaxScaler(clip=True, feature_range=(-1.0, 1.0)),);0.755
1;QDA;QuadraticDiscriminantAnalysis(reg_param=0.06560904993007827,                           tol=5.922731955256696e-05);(PCA(n_components=2),);0.714
1;SVM;SVC(C=1.5670602012918367, coef0=0.7463956880872286, degree=5, kernel='poly', random_state=0, shrinking=False, tol=1.4673535651824508e-05);(PCA(n_components=2, whiten=True),);0.724
2;AdaBoost;AdaBoostClassifier(learning_rate=0.02205216880877298, n_estimators=23,                random_state=4);(PCA(n_components=2),);0.806
2;DecisionTree;DecisionTreeClassifier(criterion='entropy', max_depth=2,                    max_features=0.8049111641356285, random_state=4);(PCA(n_components=2),);0.806
2;KNN;KNeighborsClassifier(algorithm='brute', leaf_size=33, metric='cityblock',                  n_jobs=1, n_neighbors=7, p=3.8486015046976454);(StandardScaler(with_mean=False, with_std=False),);0.847
2;LDA;LinearDiscriminantAnalysis(solver='eigen', tol=0.004271726140726087);(StandardScaler(with_mean=False),);0.847
2;RandomForest;RandomForestClassifier(max_features=0.7861554263987414, min_samples_leaf=9,                    n_estimators=80, n_jobs=1, random_state=4,                    verbose=False);(MinMaxScaler(clip=True, feature_range=(0.0, 1.0)),);0.857
2;QDA;QuadraticDiscriminantAnalysis(reg_param=0.003297177660317896,                           tol=1.2497332673982551e-05);(MinMaxScaler(clip=True, feature_range=(0.0, 1.0)),);0.837
2;SVM;SVC(C=0.8688111698620111, coef0=0.17835647500372187, decision_function_shape='ovo', degree=4, random_state=2, tol=0.004183993489406841);(StandardScaler(with_std=False),);0.827
3;AdaBoost;AdaBoostClassifier(learning_rate=0.0011817208847179086, n_estimators=68,                random_state=0);(PCA(n_components=2),);0.816
3;DecisionTree;DecisionTreeClassifier(max_features='sqrt', random_state=0, splitter='random');(StandardScaler(),);0.806
3;KNN;KNeighborsClassifier(leaf_size=23, n_jobs=1, n_neighbors=12,                  p=1.9573083313962094, weights='distance');(StandardScaler(with_mean=False),);0.878
3;LDA;LinearDiscriminantAnalysis(tol=1.5109022470715147e-05);(Normalizer(norm='l1'),);0.796
3;RandomForest;RandomForestClassifier(class_weight='balanced', max_depth=2, n_estimators=2494,                    n_jobs=1, random_state=1, verbose=False);(StandardScaler(with_mean=False, with_std=False),);0.745
3;QDA;QuadraticDiscriminantAnalysis(reg_param=0.30888466289813804,                           tol=1.866414869399994e-05);(Normalizer(),);0.765
3;SVM;SVC(C=0.977013295414286, coef0=0.9235570902087072, degree=5, random_state=4, tol=0.0005078464824970614);(PCA(n_components=2, whiten=True),);0.888
4;AdaBoost;AdaBoostClassifier(learning_rate=0.08157304860799867, n_estimators=237,                random_state=3);(MinMaxScaler(feature_range=(0.0, 1.0)),);0.888
4;DecisionTree;DecisionTreeClassifier(criterion='entropy', max_features=0.22758568051503297,                    random_state=3);(StandardScaler(with_mean=False, with_std=False),);0.847
4;KNN;KNeighborsClassifier(algorithm='kd_tree', leaf_size=33, n_jobs=1, n_neighbors=9,                  p=4.413552851025337, weights='distance');(MinMaxScaler(feature_range=(0.0, 1.0)),);0.908
4;LDA;LinearDiscriminantAnalysis(solver='eigen', tol=0.0002347933658602667);(StandardScaler(),);0.796
4;RandomForest;RandomForestClassifier(bootstrap=False, class_weight='balanced_subsample',                    min_samples_leaf=7, n_estimators=1659, n_jobs=1,                    random_state=4, verbose=False);(PCA(n_components=2),);0.888
4;QDA;QuadraticDiscriminantAnalysis(reg_param=0.05841345579239654,                           tol=1.959837917026225e-05);(StandardScaler(with_std=False),);0.816
4;SVM;SVC(C=1.5962264428221777, coef0=0.2695466930005611, degree=1, random_state=3, tol=0.0013545637266414157);(StandardScaler(with_std=False),);0.888
5;AdaBoost;AdaBoostClassifier(learning_rate=0.046278563838089516, n_estimators=12,                random_state=2);(MinMaxScaler(feature_range=(-1.0, 1.0)),);0.867
5;DecisionTree;DecisionTreeClassifier(criterion='entropy', max_depth=3, max_leaf_nodes=15,                    random_state=1, splitter='random');(MinMaxScaler(clip=True, feature_range=(-1.0, 1.0)),);0.857
5;KNN;KNeighborsClassifier(algorithm='kd_tree', metric='cityblock', n_jobs=1,                  n_neighbors=9, p=3.984175976734968, weights='distance');(PCA(n_components=2),);0.857
5;LDA;LinearDiscriminantAnalysis(solver='lsqr', tol=0.00033979745166094863);(Normalizer(norm='max'),);0.765
